region_country,model,sample_mean,upper_95_ui,lower_95_ui,sd,level,definition
India,46.39,49.03,110.27,18.47,23.06,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Indonesia,59.97,62.97,139.86,23.33,28.97,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Iran (Islamic Republic of),267.54,275.03,591.28,110.21,125.87,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Iraq,50.9,53.15,113.12,20.53,23.91,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Ireland,883.51,926.77,2002.58,334.11,438.04,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Israel,537.91,567.92,1202.87,208.84,263.06,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Italy,660.11,700.95,1480.08,262.41,321.23,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Jamaica,114.72,117.54,249.64,46.82,50.79,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Japan,693.3,732.86,1639.37,265.23,378.3,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Jordan,83.63,87.64,185.27,33.28,39.94,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Kazakhstan,212.55,216.6,481.29,83.58,98.63,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Kenya,18.91,19.45,41.76,7.2,9.01,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Kiribati,28.86,30.38,67.48,12.19,14.02,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Kuwait,781.64,810.1,1692.93,321.91,352.8,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Kyrgyzstan,28.42,29.72,63.52,11.57,13.62,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Lao People's Democratic Republic,31.27,33.04,70.95,12.9,15.06,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Latvia,309.17,325.88,689.49,128.9,145.28,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Lebanon,237.49,249.27,517.44,94.92,111.2,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Lesotho,20.95,21.75,47.81,8.03,10.19,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Liberia,5.14,5.49,11.89,2.01,2.63,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Libya,315.97,326.43,692.26,123.11,145.71,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Lithuania,335.06,342.86,724.53,136.72,159.05,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Luxembourg,2119.42,2213.3,4871.13,830.31,1025.48,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Madagascar,9.69,10.31,21.87,3.81,4.67,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Malawi,8.81,8.87,18.78,3.43,4.17,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Malaysia,271.9,281.62,628.9,106.91,136.13,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Maldives,128.48,131.65,274.74,52.49,61.23,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Mali,13.31,14.4,30.34,5.45,6.59,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Malta,543.57,569.36,1178.35,222.23,251.07,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Marshall Islands,30.73,31.95,68.73,11.98,15.19,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Mauritania,27.41,28.23,61.63,10.6,13.18,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Mauritius,259.28,271.55,609.32,104.06,126.71,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Mexico,283.82,293.7,648.78,109.51,136.27,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Micronesia (Federated States of),47.39,50.59,107.49,19.71,23.4,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Monaco,3464.21,3663.75,7993.01,1324.25,1805.05,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Mongolia,56.4,57.39,124.54,23.58,27.11,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Montenegro,228.74,233.76,515.35,93.83,106.23,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Morocco,68.65,70.36,148.1,27.73,31.62,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Mozambique,9.23,9.76,21.8,3.56,4.62,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Myanmar,12.94,13.99,30.59,4.95,6.73,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Namibia,102.54,106.99,226.4,40.03,47.87,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Nauru,28.54,30.78,67.03,11.34,14.71,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Nepal,14.91,15.46,31.9,5.86,6.9,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Netherlands,901.54,945.65,2082.11,357.73,448.63,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
New Zealand,600.95,643.61,1435.42,230.97,323.03,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Nicaragua,48.77,50.76,108.83,18.75,23.04,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Niger,6,6.26,13.29,2.32,2.88,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Nigeria,29.24,30.79,64.69,11.47,13.96,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Niue,428.87,441.44,931.67,161.7,199.32,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Norway,1328.02,1397.83,3049.55,499.95,655.06,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Oman,410.9,419.32,891.07,158.48,191.66,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Pakistan,33.86,35.41,79.39,13.8,17,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Palau,312.94,329.15,720.1,128.17,147.95,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Panama,237.63,245.79,542.15,103.91,112.17,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Papua New Guinea,30.85,32.73,71.48,12.38,15.45,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Paraguay,87.42,94.24,207.66,35.09,44.74,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Peru,153.17,163.23,366.23,59.75,77.47,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Philippines,54.13,56.41,116.24,21.75,24.89,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Poland,375.75,389.28,847.25,154.9,175.09,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Portugal,501.7,521.43,1159.46,196.57,249.67,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Qatar,1893.55,1974.75,4398.39,732.64,914.32,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Republic of Korea,574.27,611.42,1394.49,231.19,303.8,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Republic of Moldova,41.66,42.95,94.33,16.58,19.21,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Romania,262.09,272.2,577.31,104.03,123.74,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Russian Federation,388.04,407.34,925.76,153.69,197.33,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Rwanda,12.75,13.39,28.97,4.91,6.3,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Saint Kitts and Nevis,320.75,327.33,718.87,126.79,152.83,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Saint Lucia,184.95,197.22,418.39,75.19,89.81,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Saint Vincent and the Grenadines,172.44,178.91,385.73,70.2,82.74,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Samoa,59.18,61.72,138.55,23.72,29.24,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
San Marino,1088.23,1119.99,2389.01,395.79,531.41,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sao Tome and Principe,21.92,23.1,48.75,9.3,10.07,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Saudi Arabia,453.05,482.74,1092.77,180.02,244.34,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Senegal,21.99,23.11,49.27,9.26,10.44,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Serbia,184.23,193.14,412.22,78.84,85.65,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Seychelles,442.99,464.93,1064.83,193.56,219.77,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sierra Leone,11.9,12.6,26.91,5.01,5.69,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Singapore,1333.96,1422.47,2882.34,505.92,644.25,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Slovakia,447.63,469.07,943.03,197.1,202.02,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Slovenia,528.18,558.54,1258.85,218.1,269.47,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Solomon Islands,35.33,36.59,76.01,15.15,16.08,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Somalia,NA,NA,NA,NA,NA,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
South Africa,169.2,175.67,360.99,71.47,77.22,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Spain,647.17,657.22,1345.17,262.79,289.51,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sri Lanka,73.2,77.08,172.73,29.22,36.64,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sudan,31.74,32.39,68.66,13.12,14.04,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Suriname,123.68,130.49,270.75,51.23,60.4,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Swaziland,75.96,79.04,170.81,31.4,37.92,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sweden,841,888.8,1957.45,334.79,424.87,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Switzerland,1089.37,1144.88,2510.71,432.57,532.85,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Syrian Arab Republic,84.61,89.34,189.11,35.99,44,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Tajikistan,23.32,24.23,52.51,9.45,11.19,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Thailand,142.12,150.31,321.15,59.61,68.8,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
The former Yugoslav Republic of Macedonia,185.85,194.95,416.53,72.11,89.79,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
